Pathway,Group,Gene,Mean,SD,Q1,Q3,Ymin,Ymax,N
A-EJ,Optic nerve,Lig1,159.487706400964,53.4634666935972,111.48047415747,178.780643340339,106.408806673023,236.398359138927,5
A-EJ,Optic nerve,Lig3,1661.87380011797,144.901139704875,1643.9729500737,1742.92333690251,1495.54736983048,1829.59310897664,5
A-EJ,Quadriceps femoris,Parp1,2383.53281163331,277.864748824863,2285.78650644512,2485.14972900243,1986.74167260916,2784.19456283839,9
A-EJ,Quadriceps femoris,Polq,199.105848731699,80.1363486466353,145.626608410545,244.503087221274,96.7452064668831,348.179876608252,9
A-EJ,Quadriceps femoris,Lig1,48.2514711277688,12.5862039146306,40.7031936562959,50.0146925127464,34.8536974965529,63.9819407974221,9
A-EJ,Quadriceps femoris,Lig3,1968.43191416205,177.529332918853,1808.81427119541,2085.94296274326,1713.48352886588,2221.77741041294,9
A-EJ,Retina,Parp1,1599.37374849374,404.060711040018,1358.3656053127,1616.52088465326,1160.33006277303,2003.75380366412,27
A-EJ,Retina,Polq,150.463200498269,39.2022845373335,119.088635167855,172.298251470058,69.6153485153971,240.331264030189,27
A-EJ,Retina,Lig1,374.170747091246,149.399356390247,224.733492275539,483.847994315628,176.689497968249,771.373960565473,27
A-EJ,Retina,Lig3,835.305138180158,159.046123201401,723.680705440503,926.564072114666,571.129810047601,1176.94085712901,27
A-EJ,Soleus,Parp1,1409.126406832,572.500970000853,931.720130971906,2036.17405270513,677.08146253939,2330.03734458783,18
A-EJ,Soleus,Polq,238.368517275217,102.168792505947,199.110847511625,310.609701786647,35.4606127872459,379.537495980158,18
A-EJ,Soleus,Lig1,82.8172830946525,44.3988434704153,66.4340033477357,83.0938284337367,41.4442657187343,108.083566062738,18
A-EJ,Soleus,Lig3,1237.352081624,155.526891223412,1132.67419470681,1389.13120725697,990.631380900076,1514.59012491397,18
A-EJ,Spleen,Parp1,2253.77282443552,254.669735852136,2175.84933779959,2377.39171850203,1873.53576674593,2588.22081600116,9
A-EJ,Spleen,Polq,351.002765188852,156.362512849493,251.834760059723,469.349889612926,126.241867200535,599.590830281503,9
A-EJ,Spleen,Lig1,390.033436545775,116.619837119777,271.920572272149,470.999244255398,210.099747831001,558.672916992138,9
A-EJ,Spleen,Lig3,897.187349520542,214.928118755893,827.652074903908,1112.876318218,465.767143664273,1128.68092261722,9
A-EJ,Spleen-distal,Parp1,798.686036994116,152.749809098939,713.716090815932,886.418010075713,524.219666743776,1020.27146105608,10
A-EJ,Spleen-distal,Polq,24.8585955402858,21.9837468417902,4.52186647418964,31.3230392269267,1.85384339039995,64.101955278588,10
A-EJ,Spleen-distal,Lig1,183.668734290011,85.5974789415385,172.553014636177,229.584222273865,87.0062031796438,315.131033730398,10
