analysis_tissue,tissue_definition,term_key,term_name,go_id,term_order,term_role,n_missions,n_biological_experiments,n_analysis_units,mean_mission_nes,median_mission_nes,n_positive_missions,n_negative_missions,exact_signflip_p_two_sided,stouffer_meta_z,stouffer_p_two_sided,missions,exact_signflip_FDR_all_cells,stouffer_FDR_all_cells
Heart / Heart right ventricle,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,2,1.10377061743955,1.10377061743955,1,0,1,1.18170356754521,0.237323342281607,SpaceX-18,1,0.34027979224201
Left lobe of the liver,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,2,2,3,1.01877235053712,1.01877235053712,2,0,0.5,1.09931864438432,0.271629102756574,SpaceX-16;SpaceX-21,1,0.382438086913588
Colon,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,1.00973250809583,1.00973250809583,1,0,1,0.776421761147928,0.4375,SpaceX-21,1,0.559426229508197
Gastrocnemius,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,2,2,0.938756014241554,0.938756014241554,1,0,1,0.550012936835274,0.58231050039194,SpaceX-4,1,0.69027688496309
Heart,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,0.932733197289617,0.932733197289617,1,0,1,0.5199580936578,0.603092783505155,NG-11,1,0.708452366165694
Cerebellum,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,0.914563295162822,0.914563295162822,1,0,1,0.469752142133966,0.638532110091743,SpaceX-21,1,0.741153342070773
Kidney,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,4,5,9,0.887079582372722,1.25283711787311,3,1,0.25,3.87574519005399,0.000106298878822601,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,0.000348374476813565
Soleus,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,3,3,3,0.620188144161617,1.14718682368055,2,1,0.5,2.54584347804409,0.0109014056766184,SpaceX-21;SpaceX-4;SpaceX-9,1,0.0251570900229656
Extensor digitorum longus,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,2,2,2,0.060548779216963,0.060548779216963,1,1,1,0.302623972094611,0.762176443523677,SpaceX-21;SpaceX-4,1,0.839685912356593
Dorsal skin,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,2,2,5,0.0408488146120575,0.0408488146120575,1,1,1,-0.0636766244349613,0.949227717963305,SpaceX-11;SpaceX-15,1,0.971650419962438
Eye,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,2,2,2,-0.320047899984122,-0.320047899984122,1,1,1,-1.60593858514104,0.108287404585296,SpaceX-4;SpaceX-8,1,0.182822890858291
Thymus,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,3,4,4,-0.556627254362525,-1.3133719069702,1,2,0.75,-1.96574912519888,0.0493275971421134,SpaceX-12;SpaceX-21;SpaceX-9,1,0.0947673048543065
Retina,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,4,4,4,-0.642601139420923,-1.0879333967372,1,3,0.25,-1.76256294469292,0.0779742314163923,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,0.140138019596281
Tibialis anterior,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,-0.981373177996826,-0.981373177996826,0,1,1,-0.632390434392998,0.527131782945737,SpaceX-21,1,0.632558139534884
Lung,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,2,2,-0.992038040013197,-0.992038040013197,0,1,1,-0.704008559733366,0.481427442993569,SpaceX-21,1,0.596053024658704
Spleen-distal,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,-1.00978469755598,-1.00978469755598,0,1,1,-0.807785673560531,0.419213973799127,SpaceX-12,1,0.537807400597564
Spleen,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,-1.13305827996888,-1.13305827996888,0,1,1,-1.35493396671422,0.175438596491229,SpaceX-21,1,0.275766931077366
Adrenal gland,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,2,2,2,-1.18009073328216,-1.18009073328216,0,2,0.5,-1.93376374767924,0.053142181945047,SpaceX-21;SpaceX-8,1,0.101087097671023
