ensembl_id,gene_symbol,set_01_Quadriceps_femoris,set_02_Tibialis_anterior,set_03_Optic_nerve,set_04_Spleen,set_05_Femoral_lateral_skin,set_06_Left_lobe_of_the_liver,set_07_Colon,set_08_Cerebellum,set_09_Heart,set_10_Eye,intersection_degree
ENSMUSG00000025583,Rptor,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025612,Bach1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025616,Usp16,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025646,Atrip,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025647,Shisa5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025665,Rps6ka6,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025860,Xiap,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025878,Uimc1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025899,Alkbh8,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000025932,Eya1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026011,Ctla4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026048,Ercc5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026077,Npas2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026082,Rev1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026098,Pms1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026107,Nabp1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026162,Nhej1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026182,Tnp1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026187,Xrcc5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026196,Bard1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026219,Trip12,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026222,Sp100,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026278,Bok,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026355,Mcm6,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000026389,Steap3,1,1,1,1,1,1,1,1,1,1,10
