Tissue,Pathway,EnsemblID,Gene_Symbol,EntrezID,Spaceflight_Log2FC,Meta_P_value,FDR_padj,n_missions,n_analysis_units,Flight_Samples_Count
Cerebellum,NER,ENSMUSG00000028426,Rad23b,19359,-0.0421736338991164,0.737134087704878,0.955773661387073,1,1,9
Cerebellum,NER,ENSMUSG00000031347,Cetn2,26370,-0.0285656661916737,0.760170528103419,0.959957231967105,1,1,9
Cerebellum,NER,ENSMUSG00000021694,Ercc8,71991,-0.0172823044071908,0.826463942522458,0.974226556557961,1,1,9
Cerebellum,NER,ENSMUSG00000054051,Ercc6,319955,-0.130954370250593,0.42512515552024,0.853893146199208,1,1,9
Cerebellum,NER,ENSMUSG00000024740,Ddb1,13194,0.0382163899360737,0.716469547576216,0.951030341116574,1,1,9
Cerebellum,NER,ENSMUSG00000002109,Ddb2,107986,0.285976042660906,0.0001178704124109,0.0068377486238328,1,1,9
Cerebellum,NER,ENSMUSG00000024382,Ercc3,13872,0.16195220132987,0.0541925434088341,0.383125331321465,1,1,9
Cerebellum,NER,ENSMUSG00000030400,Ercc2,13871,-0.189878795515548,0.472786579446683,0.874262234228209,1,1,9
Cerebellum,NER,ENSMUSG00000034345,Gtf2h5,66467,-0.0312939289990343,0.675591644057395,0.941308571992761,1,1,9
Cerebellum,NER,ENSMUSG00000029387,Gtf2h3,209357,0.0156812201940632,0.904166284033374,0.986905928676207,1,1,9
Cerebellum,NER,ENSMUSG00000021639,Gtf2h2,23894,0.173124964155261,0.0801839202415878,0.464209823049792,1,1,9
Cerebellum,NER,ENSMUSG00000001524,Gtf2h4,14885,-0.480073007947468,0.0087779361503683,0.139913884406196,1,1,9
Cerebellum,NER,ENSMUSG00000006599,Gtf2h1,14884,0.170688406845593,0.0747784316474194,0.450506839967108,1,1,9
Cerebellum,NER,ENSMUSG00000003549,Ercc1,13870,-0.365022833361522,0.161706212384071,0.627604793041821,1,1,9
Cerebellum,NER,ENSMUSG00000022545,Ercc4,50505,0.0095776082358766,0.916515437265059,0.989390754269108,1,1,9
