analysis_tissue,pathway_1_key,pathway_2_key,fisher_z,z_capped
Gastrocnemius,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.40218640783508486,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,mechanosensation_GO0050954,1.4884021318342362,False
Kidney,DNA_damage_response_GO0006974,mechanosensation_GO0050954,1.001600514987188,False
Left lobe of the liver,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.01913276903947686,False
Liver,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.863868805231562,False
Lung,DNA_damage_response_GO0006974,mechanosensation_GO0050954,-0.019782800103095598,False
Mammary gland,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.03031231090821742,False
Optic nerve,DNA_damage_response_GO0006974,mechanosensation_GO0050954,-0.42364893019360184,False
Quadriceps femoris,DNA_damage_response_GO0006974,mechanosensation_GO0050954,-0.033345687249336106,False
Retina,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.14883038625083855,False
Soleus,DNA_damage_response_GO0006974,mechanosensation_GO0050954,-0.34889737447824615,False
Spleen,DNA_damage_response_GO0006974,mechanosensation_GO0050954,-0.1511404359364668,False
Spleen-distal,DNA_damage_response_GO0006974,mechanosensation_GO0050954,1.4263157149566588,False
Thymus,DNA_damage_response_GO0006974,mechanosensation_GO0050954,-0.04944737556808883,False
Tibialis anterior,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.32793789288135683,False
Adrenal gland,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.5537114591751323,False
Bone marrow,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,1.1835618070658085,False
Cecum,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.8673005276940532,False
Cerebellum,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,1.1467263047153866,False
Dorsal skin,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,1.5103874620343556,False
Extensor digitorum longus,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.8004454259278209,False
Eye,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.8325038817944554,False
Femoral lateral skin,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,1.0539397385001847,False
Gastrocnemius,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.7938882078264606,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.8613832988705519,False
Kidney,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,1.2759840915284109,False
Left lobe of the liver,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.39802857180868667,False
