ComponentOrder,Group,Pathway,PathwayOrder,PathwayDisplay,ComponentOrderWithinPathway,RequestedComponent,MappingStatus,DisplayComponent,OfficialMouseSymbol,EnsemblID,MGI_ID,EntrezID,TissueYARNNormalizedLog2,TissueInputExpressionLog2,TissueSourceExpressionPlus1,MissionN,ObservedMissionN,AnalysisUnitN,FlightSampleN,TissueChinese,TissueLabel,TissueOrder,LookupMouseSymbol,GeneBiotype,Sheet,RowInSheet,PlotPathwayDisplay,PlotComponentOrder
19,Quadriceps femoris,HR,2,HR,12,PolD1,reviewed teacher label/alias -> official mouse symbol,Pold1,Pold1,ENSMUSG00000038644,MGI:97741,18971,5.9939435558682,5.94573520178807,66.3006625265233,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Pold1,protein_coding,DSB,19,HR,21
20,Quadriceps femoris,HR_A-EJ,3,HR–A-EJ,1,MRE11,reviewed teacher label/alias -> official mouse symbol,Mre11a,Mre11a,ENSMUSG00000031928,MGI:1100512,17535,9.7929063912422,9.83765232370562,918.10902480397,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Mre11a,protein_coding,DSB,20,HR–A-EJ,22
21,Quadriceps femoris,HR_A-EJ,3,HR–A-EJ,2,Rad50,reviewed teacher label/alias -> official mouse symbol,Rad50,Rad50,ENSMUSG00000020380,MGI:109292,19360,8.951492791819,8.95142098951571,497.026485803834,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Rad50,protein_coding,DSB,21,HR–A-EJ,23
22,Quadriceps femoris,HR_A-EJ,3,HR–A-EJ,3,NBS1,reviewed teacher label/alias -> official mouse symbol,Nbn,Nbn,ENSMUSG00000028224,MGI:1351625,27354,10.2052916147173,10.2679860027839,1236.81942673907,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Nbn,protein_coding,DSB,22,HR–A-EJ,24
25,Quadriceps femoris,A-EJ,4,A-EJ,1,Parp1,reviewed teacher label/alias -> official mouse symbol,Parp1,Parp1,ENSMUSG00000026496,MGI:1340806,11545,11.2107729629749,11.3286603745927,2588.78701940711,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Parp1,protein_coding,DSB,25,A-EJ,25
26,Quadriceps femoris,A-EJ,4,A-EJ,2,PolQ,reviewed teacher label/alias -> official mouse symbol,Polq,Polq,ENSMUSG00000034206,MGI:2155399,77782,7.53797066286273,7.50082060367684,193.550011312105,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Polq,protein_coding,DSB,26,A-EJ,26
27,Quadriceps femoris,A-EJ,4,A-EJ,3,XRCC1,reviewed teacher label/alias -> official mouse symbol,Xrcc1,Xrcc1,ENSMUSG00000051768,MGI:99137,22594,8.41735544867377,8.39547624291085,341.228920844379,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Xrcc1,protein_coding,DSB,27,A-EJ,27
28,Quadriceps femoris,A-EJ,4,A-EJ,4,Ligase I,reviewed teacher label/alias -> official mouse symbol,Lig1,Lig1,ENSMUSG00000056394,MGI:101789,16881,5.58437883971485,5.53696855140551,47.7968863925388,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Lig1,protein_coding,DSB,28,A-EJ,28
29,Quadriceps femoris,A-EJ,4,A-EJ,5,Ligase III,reviewed teacher label/alias -> official mouse symbol,Lig3,Lig3,ENSMUSG00000020697,MGI:109152,16882,10.938296193853,11.0419633682637,2121.90579975689,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Lig3,protein_coding,DSB,29,A-EJ,29
30,Quadriceps femoris,BER,5,BER,1,UNG,reviewed teacher label/alias -> official mouse symbol,Ung,Ung,ENSMUSG00000029591,MGI:109352,22256,7.40021866551507,7.35001980394786,168.673100894621,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Ung,protein_coding,SSB_others,1,BER,30
