family,ensembl_id,display_symbol,all_source_symbols,mgi_id,set_01_Cecum,set_02_Femoral_skin,set_03_Bone_marrow,set_04_Spleen_distal,set_05_Retina,set_06_Heart_Heart_right_ventricle
down_tissues,ENSMUSG00000028949,Smarcd3,Smarcd3,MGI:1914243,1,1,1,1,1,1
down_tissues,ENSMUSG00000028964,Park7,Park7,MGI:2135637,1,1,1,1,1,1
down_tissues,ENSMUSG00000028969,Cdk5,Cdk5,MGI:101765,1,1,1,1,1,1
down_tissues,ENSMUSG00000028991,Mtor,Mtor,MGI:1928394,1,1,1,1,1,1
down_tissues,ENSMUSG00000028999,Rint1,Rint1,MGI:1916233,1,1,1,1,1,1
down_tissues,ENSMUSG00000029003,Mad2l2,Mad2l2,MGI:1919140,1,1,1,1,1,1
down_tissues,ENSMUSG00000029026,Trp73,Trp73,MGI:1336991,1,1,1,1,1,1
down_tissues,ENSMUSG00000029036,Atad3a,Atad3a,MGI:1919214,1,1,1,1,1,1
down_tissues,ENSMUSG00000029110,Rnf4,Rnf4,MGI:1201691,1,1,1,1,1,1
down_tissues,ENSMUSG00000029191,Rfc1,Rfc1,MGI:97891,1,1,1,1,1,1
down_tissues,ENSMUSG00000029196,Tada2b,Tada2b,MGI:3035274,1,1,1,1,1,1
down_tissues,ENSMUSG00000029238,Clock,Clock,MGI:99698,1,1,1,1,1,1
down_tissues,ENSMUSG00000029275,Gfi1,Gfi1,MGI:103170,1,1,1,1,1,1
down_tissues,ENSMUSG00000029283,Cdc7,Cdc7,MGI:1309511,1,1,1,1,1,1
down_tissues,ENSMUSG00000029313,Aff1,Aff1,MGI:1100819,1,1,1,1,1,1
down_tissues,ENSMUSG00000029363,Rfc5,Rfc5,MGI:1919401,1,1,1,1,1,1
down_tissues,ENSMUSG00000029387,Gtf2h3,Gtf2h3,MGI:1277143,1,1,1,1,1,1
down_tissues,ENSMUSG00000029438,Bcl7a,Bcl7a,MGI:1924295,1,1,1,1,1,1
down_tissues,ENSMUSG00000029461,Fam168a,Fam168a,MGI:2442372,1,1,1,1,1,1
down_tissues,ENSMUSG00000029505,Ep400,Ep400,MGI:1276124,1,1,1,1,1,1
down_tissues,ENSMUSG00000029521,Chek2,Chek2,MGI:1355321,1,1,1,1,1,1
down_tissues,ENSMUSG00000029524,Sirt4,Sirt4,MGI:1922637,1,1,1,1,1,1
down_tissues,ENSMUSG00000029535,Triap1,Triap1,MGI:1916326,1,1,1,1,1,1
down_tissues,ENSMUSG00000029580,Actb,Actb,MGI:87904,1,1,1,1,1,1
down_tissues,ENSMUSG00000029591,Ung,Ung,MGI:109352,1,1,1,1,1,1
down_tissues,ENSMUSG00000029670,Ing3,Ing3,MGI:1919027,1,1,1,1,1,1
down_tissues,ENSMUSG00000029676,Pot1a,Pot1a,MGI:2141503,1,1,1,1,1,1
down_tissues,ENSMUSG00000029681,Bcl7b,Bcl7b,MGI:1332238,1,1,1,1,1,1
down_tissues,ENSMUSG00000029712,Actl6b,Actl6b,MGI:1933548,1,1,0,0,1,1
down_tissues,ENSMUSG00000029730,Mcm7,Mcm7,MGI:1298398,1,1,1,1,1,1
down_tissues,ENSMUSG00000029836,Cbx3,Cbx3,MGI:108515,1,1,1,1,1,1
down_tissues,ENSMUSG00000029863,Casp2,Casp2,MGI:97295,1,1,1,1,1,1
down_tissues,ENSMUSG00000029920,Smarcad1,Smarcad1,MGI:95453,1,1,1,1,1,1
down_tissues,ENSMUSG00000030034,Ino80b,Ino80b,MGI:1917270,1,1,1,1,1,1
down_tissues,ENSMUSG00000030051,Aplf,Aplf,MGI:1919353,1,1,1,1,1,1
down_tissues,ENSMUSG00000030060,Hmces,Hmces,MGI:1914053,1,1,1,1,1,1
down_tissues,ENSMUSG00000030067,Foxp1,Foxp1,MGI:1914004,1,1,1,1,1,1
down_tissues,ENSMUSG00000030079,Ruvbl1,Ruvbl1,MGI:1928760,1,1,1,1,1,1
down_tissues,ENSMUSG00000030086,Chchd6,Chchd6,MGI:1913348,1,1,1,1,1,1
